county,year,race,sex,total
Macon,2000,asian,male,60
Madison,2000,asian,male,15
Martin,2000,asian,male,40
McDowell,2000,asian,male,218
Mecklenburg,2000,asian,male,11976
Mitchell,2000,asian,male,14
Montgomery,2000,asian,male,229
Moore,2000,asian,male,170
Nash,2000,asian,male,290
New Hanover,2000,asian,male,708
Northampton,2000,asian,male,20
Onslow,2000,asian,male,1190
Orange,2000,asian,male,2295
Pamlico,2000,asian,male,19
Pasquotank,2000,asian,male,155
Pender,2000,asian,male,30
Perquimans,2000,asian,male,14
Person,2000,asian,male,27
Pitt,2000,asian,male,782
Polk,2000,asian,male,21
Randolph,2000,asian,male,459
Richmond,2000,asian,male,184
Robeson,2000,asian,male,298
Rockingham,2000,asian,male,151
Rowan,2000,asian,male,613
Rutherford,2000,asian,male,111
Sampson,2000,asian,male,188
Scotland,2000,asian,male,83
Stanly,2000,asian,male,592
Stokes,2000,asian,male,41
Surry,2000,asian,male,235
Swain,2000,asian,male,16
Transylvania,2000,asian,male,42
Tyrrell,2000,asian,male,34
Union,2000,asian,male,403
Vance,2000,asian,male,100
Wake,2000,asian,male,11288
Warren,2000,asian,male,18
Washington,2000,asian,male,20
Watauga,2000,asian,male,136
Wayne,2000,asian,male,486
Wilkes,2000,asian,male,120
Wilson,2000,asian,male,182
Yadkin,2000,asian,male,36
Yancey,2000,asian,male,11
Alamance,2000,black,male,11460
Alexander,2000,black,male,738
Alleghany,2000,black,male,89
Anson,2000,black,male,6011
Ashe,2000,black,male,97
Avery,2000,black,male,614
Beaufort,2000,black,male,5975
Bertie,2000,black,male,5645
Bladen,2000,black,male,5677
Brunswick,2000,black,male,5044
Buncombe,2000,black,male,7482
Burke,2000,black,male,3452
Cabarrus,2000,black,male,7725
Caldwell,2000,black,male,2127
Camden,2000,black,male,577
Carteret,2000,black,male,2082
Caswell,2000,black,male,4369
Catawba,2000,black,male,5771
Chatham,2000,black,male,4058
Cherokee,2000,black,male,203
Chowan,2000,black,male,2474
Clay,2000,black,male,36
Cleveland,2000,black,male,9483
Columbus,2000,black,male,7978
Craven,2000,black,male,11407
Cumberland,2000,black,male,52789
Currituck,2000,black,male,638
Dare,2000,black,male,421
Davidson,2000,black,male,6364
Davie,2000,black,male,1169
Duplin,2000,black,male,6606
Durham,2000,black,male,40874
Edgecombe,2000,black,male,14451
Forsyth,2000,black,male,36421
Franklin,2000,black,male,6849
Gaston,2000,black,male,12316
Gates,2000,black,male,1982
Graham,2000,black,male,10
Granville,2000,black,male,9184
Greene,2000,black,male,4015
